NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                                               MESSAGE
kube-system   2m13s       Normal    Pulled                         pod/pdcsi-node-2h6jw                                 Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gcp-compute-persistent-disk-csi-driver:v1.23.1-gke.20@sha256:fc65b739e47e804ec6c93f4a2a8d8a2dbcaa2c1dd91f082fdb0c4266856d12ce" in 13.199s (15.176s including waiting). Image size: 124338789 bytes.
kube-system   2m13s       Normal    Pulling                        pod/pdcsi-node-2h6jw                                 Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250311_2300_RC0@sha256:e6713a8266629d9e103f7b2c7715bf510170fe28ebe2dc341327fa5e6a0facde"
kube-system   2m13s       Normal    Created                        pod/pdcsi-node-2h6jw                                 Container created
argocd        2m9s        Normal    Pulled                         pod/argocd-server-5df668db89-fl7gx                   Successfully pulled image "quay.io/argoproj/argocd:v3.5.1" in 4.385s (16.933s including waiting). Image size: 210598970 bytes.
argocd        2m9s        Normal    Started                        pod/argocd-repo-server-7df895d8f4-pr26x              Container started
argocd        2m9s        Normal    Pulled                         pod/argocd-repo-server-7df895d8f4-pr26x              Successfully pulled image "quay.io/argoproj/argocd:v3.5.1" in 11.371s (16.93s including waiting). Image size: 210598970 bytes.
argocd        2m9s        Normal    Started                        pod/argocd-server-5df668db89-fl7gx                   Container started
argocd        2m9s        Normal    Created                        pod/argocd-server-5df668db89-fl7gx                   Container created
argocd        2m9s        Normal    Created                        pod/argocd-repo-server-7df895d8f4-pr26x              Container created
kube-system   2m8s        Normal    Created                        pod/fluentbit-gke-v29rz                              Container created
kube-system   2m8s        Normal    Pulled                         pod/fluentbit-gke-v29rz                              Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260615.00_p0@sha256:b98f4278dc5123fbad96c54ba8301c512d32f4716528ab30faea15108c68c52e" in 326ms (17.239s including waiting). Image size: 18877251 bytes.
kube-system   2m7s        Normal    Started                        pod/fluentbit-gke-v29rz                              Container started
argocd        2m6s        Normal    ScalingReplicaSet              deployment/argocd-server                             Scaled down replica set argocd-server-7985c69556 from 1 to 0
argocd        2m6s        Normal    SuccessfulDelete               replicaset/argocd-server-7985c69556                  Deleted pod: argocd-server-7985c69556-nktnf
argocd        2m6s        Normal    Killing                        pod/argocd-server-7985c69556-nktnf                   Stopping container argocd-server
kube-system   2m4s        Normal    Pulled                         pod/gke-metadata-server-96f78                        Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metadata-server:gke_metadata_server_20260309.00_p0@sha256:2fd008f6a58022a2880e918c0f484e9f2680d55ef42176d43a3ba89efaa155ef" in 4.788s (21.694s including waiting). Image size: 46402277 bytes.
kube-system   2m3s        Normal    Pulled                         pod/konnectivity-agent-79cd9446fc-bkzh9              Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251019.00_p0@sha256:2e1549e4692726aecc70364a1d6700cf276db2d9b4da90179284ca8de168c976" in 4.988s (19.621s including waiting). Image size: 2887395 bytes.
kube-system   116s        Normal    Created                        pod/gke-metadata-server-96f78                        Container created
kube-system   116s        Normal    Started                        pod/kube-dns-77d469c9c9-h2h5f                        Container started
kube-system   116s        Normal    Pulled                         pod/kube-dns-77d469c9c9-h2h5f                        Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260412.00_p0@sha256:10a31e4c4338b37a10dbf4dfeaabd58a95b711e59abb740de628c32748184831" in 7.751s (26.435s including waiting). Image size: 3374190 bytes.
kube-system   116s        Normal    Created                        pod/kube-dns-77d469c9c9-h2h5f                        Container created
kube-system   116s        Normal    Started                        pod/gke-metadata-server-96f78                        Container started
kube-system   116s        Normal    Started                        pod/konnectivity-agent-79cd9446fc-bkzh9              Container started
kube-system   116s        Normal    Created                        pod/konnectivity-agent-79cd9446fc-bkzh9              Container created
gmp-system    115s        Normal    Pulled                         pod/collector-2hn2m                                  Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260715.00_p0@sha256:31d0dbad107b5a78e7c824250a9912aec521846b0813c48921d445fb204b197d" in 8.721s (27.485s including waiting). Image size: 18866468 bytes.
argocd        115s        Normal    Pulling                        pod/argocd-repo-server-7df895d8f4-pr26x              Pulling image "quay.io/argoproj/argocd:v3.5.1"
gmp-system    115s        Normal    Created                        pod/collector-2hn2m                                  Container created
kube-system   115s        Normal    Pulling                        pod/fluentbit-gke-v29rz                              Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit:v0.0.422-gke.2@sha256:4b5df304074c9f2842f16ef4869c0ec253c2d91d6478e5aa42d2f8dce9146b45"
kube-system   115s        Normal    Pulling                        pod/konnectivity-agent-79cd9446fc-bkzh9              Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/proxy-agent:v0.35.0-gke.1@sha256:2065f91ef5b24b14f6b9da1f1eedf83895d5167918a93cb1770c1124e4ab038d"
kube-system   115s        Normal    Pulling                        pod/kube-dns-77d469c9c9-h2h5f                        Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-kube-dns:1.26.8-gke.3@sha256:e349d527bdfe0dfd02c26b38a94311415839ea30f48ca837d08ba5d9383f77cd"
gmp-system    114s        Normal    Started                        pod/collector-2hn2m                                  Container started
kube-system   113s        Normal    Created                        pod/gke-metrics-agent-85s2d                          Container created
kube-system   113s        Normal    Started                        pod/gke-metrics-agent-85s2d                          Container started
kube-system   113s        Normal    Pulled                         pod/gke-metrics-agent-85s2d                          Container image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.3@sha256:4cc4daca02a5928dd1c38b03ff421c9b3bca9cbc1249ccf69f8acfe3948ac1df" already present on machine and can be accessed by the pod
kube-system   113s        Normal    Created                        pod/gke-metrics-agent-85s2d                          Container created
kube-system   113s        Normal    Pulling                        pod/gke-metrics-agent-85s2d                          Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250807_2300_RC0@sha256:aa1ed41571fa937da61b5bcd7cf842981c7f026b516c18655bc2f3a9362b1fa5"
kube-system   113s        Normal    Started                        pod/gke-metrics-agent-85s2d                          Container started
